area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,1730,3.0,1.0,93.0
Plot  Area,Ready To Move,BTM 4th Stage,2 Bedroom,,1350,2.0,0.0,90.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,Anineu ,3230,5.0,0.0,165.0
Plot  Area,Ready To Move,6th Phase JP Nagar,8 Bedroom,,1650,6.0,2.0,135.0
Super built-up  Area,Ready To Move,Ittamadu,3 BHK,Naory G,1600,3.0,2.0,100.0
Built-up  Area,Ready To Move,Pai Layout,2 BHK,SantsAp,1100,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Goelsn ,1700,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Toindls,2500,3.0,2.0,313.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,,1125,2.0,1.0,44.75
Plot  Area,Ready To Move,Hosakerehalli,5 Bedroom,,1500,6.0,2.0,145.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,1489,2.0,3.0,82.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GoncyRe,1665,3.0,,85.0
Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,,1310,2.0,2.0,53.0
Super built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1945,3.0,2.0,135.0
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3500,5.0,2.0,450.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Atntspa,1530,3.0,3.0,40.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3.0,2.0,56.0
Plot  Area,Ready To Move,Yeshwanthpur,3 Bedroom,,682,2.0,1.0,130.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1164,2.0,2.0,64.08
Built-up  Area,18-Jun,Whitefield,1 BHK,,905,1.0,1.0,55.0
Built-up  Area,Ready To Move,Ittamadu,1 BHK,,1200,2.0,0.0,85.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,66.0
Plot  Area,18-Apr,Popular Colony,2 Bedroom,,1300,2.0,0.0,54.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1600,2.0,1.0,63.98
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1278,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Music C,1150,2.0,1.0,38.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Adaveth,1500,2.0,3.0,82.0
Super built-up  Area,Ready To Move,Kammasandra,1 BHK,Puitea ,650 - 665,1.0,0.0,18.41
Built-up  Area,Ready To Move,Ambalipura,4 BHK,Toeadp ,3300,4.0,2.0,329.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1290,2.0,1.0,94.5
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,3235,3.0,1.0,235.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Priew P,1704,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1100,2.0,2.0,50.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1200,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1208,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1126,2.0,1.0,55.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1157,2.0,1.0,73.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,750,2.0,1.0,33.0
Super built-up  Area,18-May,Rachenahalli,1 BHK,AsNowre,660 - 700,1.0,0.0,32.64
Super built-up  Area,18-May,Maruthi Nagar,3 BHK,,1250,3.0,1.0,39.5
Plot  Area,Ready To Move,Kyalasanahalli,4 Bedroom,UpowsMe,1200,4.0,3.0,110.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1701,2.0,2.0,145.0
Super built-up  Area,17-Oct,Bannerghatta Road,3 BHK,SNillin,1450,3.0,1.0,44.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Mahla T,1141,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,160.0
Super built-up  Area,19-Feb,Bannerghatta Road,2 BHK,Hiatei ,1179,2.0,1.0,66.02
Built-up  Area,Ready To Move,Doopanahalli,3 BHK,,2250,3.0,2.0,199.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1105,2.0,2.0,49.73
Super built-up  Area,18-May,Devanahalli,2 BHK,Jurdsig,1230,2.0,1.0,56.45
Plot  Area,Ready To Move,Jalahalli East,3 Bedroom,,800,2.0,1.0,80.0
Super built-up  Area,18-Jun,Haralur Road,4 BHK,SNnia E,2805 - 3565,,,175.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1135,2.0,2.0,39.73
Super built-up  Area,21-Dec,Hoodi,2 BHK,GoAirej,1108,2.0,1.0,74.23
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1455,2.0,,69.0
Plot  Area,Ready To Move,Bannerghatta,3 Bedroom,,1375,3.0,0.0,57.0
Super built-up  Area,18-Apr,Thirumenahalli,2 BHK,MNtha A,1161,2.0,2.0,36.69
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1464,2.0,1.0,145.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2.0,2.0,48.0
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,,900,2.0,0.0,27.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Teire G,1111,2.0,1.0,50.0
Plot  Area,18-Aug,Sarjapur  Road,3 Bedroom,,2900,3.0,2.0,285.0
Super built-up  Area,19-Jul,Sarjapur  Road,2 BHK,Sasta S,870 - 1080,2.0,0.0,28.275
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1149,2.0,1.0,75.0
Plot  Area,Ready To Move,Hosakerehalli,3 Bedroom,,1200,3.0,2.0,175.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1404,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,46.0
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,,1314,2.0,0.0,225.0
Super built-up  Area,17-Dec,Mango Garden Layout,3 BHK,Ceral C,1824,3.0,3.0,125.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3.0,2.0,330.0
Plot  Area,Ready To Move,Adityanagar,1 Bedroom,,1260,1.0,0.0,41.0
Plot  Area,Ready To Move,Gottigere,1 Bedroom,,1806,1.0,1.0,150.0
Plot  Area,Ready To Move,Bhuvaneshwari Nagar,3 Bedroom,,440,3.0,0.0,50.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,2.0,56.12
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,3425,5.0,2.0,250.0
Plot  Area,Ready To Move,Kirloskar Layout,5 Bedroom,,750,3.0,1.0,88.0
Built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,1800,4.0,3.0,115.0
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,Niareum,2806 - 3019,6.0,0.0,125.5
Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prana S,1232,3.0,1.0,96.0
Plot  Area,Ready To Move,Hosahalli Extension,6 Bedroom,,1350,4.0,1.0,203.0
Plot  Area,Ready To Move,1st Block HRBR Layout,3 Bedroom,,600,4.0,2.0,125.0
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,MSuntra,1315,3.0,1.0,65.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Saacesa,1250,4.0,,135.0
Super built-up  Area,Ready To Move,Jagadish Nagar,3 BHK,SMdesy ,1465,2.0,2.0,88.0
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,,1835,3.0,3.0,175.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Apmes H,1000,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SJmesst,1800,3.0,3.0,92.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526,4.0,1.0,558.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1575,3.0,3.0,101.0
Built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,925,2.0,2.0,48.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,Wiaysld,1705,3.0,2.0,75.0
Super built-up  Area,19-Dec,Horamavu Agara,2 BHK,Prhar G,1169,2.0,1.0,64.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,PaantPl,1140,2.0,1.0,56.0
Plot  Area,Ready To Move,Bannerghatta Road,3 Bedroom,,9000,4.0,1.0,390.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590,3.0,2.0,58.0
Plot  Area,Ready To Move,Vibhutipura Extension,5 Bedroom,,1200,4.0,1.0,100.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306,2.0,2.0,44.17
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1684,3.0,1.0,120.0
Super built-up  Area,18-Dec,Haralur Road,3 BHK,SNnia E,1830,3.0,2.0,101.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610,2.0,2.0,115.0
Plot  Area,Ready To Move,Thavarekere,7 Bedroom,,600,7.0,,108.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,ShyamSh,1450,2.0,3.0,50.0
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Bhmesy ,933,2.0,1.0,58.0
Plot  Area,18-May,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1315,2.0,1.0,54.8
Plot  Area,Ready To Move,Kenchenahalli,4 Bedroom,,1200,3.0,2.0,125.0
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4.0,1.0,120.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ceiti I,1197,2.0,1.0,56.86
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1412,2.0,3.0,88.0
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4.0,2.0,250.0
Super built-up  Area,Ready To Move,Seegehalli,4 BHK,,2800,4.0,3.0,140.0
Built-up  Area,Ready To Move,Marsur,3 BHK,Asara S,715,2.0,1.0,29.0
Built-up  Area,18-May,Hennur,4 Bedroom,Asoilul,2557,,,170.0
Built-up  Area,16-Mar,Kanakpura Road,2 Bedroom,,2200,2.0,0.0,62.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Supleon,2100,3.0,2.0,125.0
Super built-up  Area,18-Jan,KR Puram,3 BHK,,1455,3.0,2.0,46.0
Super built-up  Area,Ready To Move,Sadashiva Nagar,5 BHK,,7500,5.0,2.0,1500.0
Super built-up  Area,Ready To Move,Baba Nagar,2 BHK,,1100,2.0,2.0,52.0
Super built-up  Area,18-Apr,Anwar Layout,1 BHK,UKicte ,660 - 780,1.0,0.0,32.39
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1532,3.0,2.0,98.13
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,Graceik,1485,2.0,2.0,67.0
Super built-up  Area,20-Dec,Hebbal,4 BHK,Cehosy ,3960,5.0,3.0,386.0
Super built-up  Area,18-Mar,Binny Pete,3 BHK,Shestlo,2406,5.0,2.0,289.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,SoechHa,1424,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,Saersel,1225,2.0,2.0,55.11
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,NaensGa,1300,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,,1200,2.0,2.0,29.0
Built-up  Area,Ready To Move,HMT Layout,4 Bedroom,,7500,4.0,,425.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,1.0,75.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,50.0
Built-up  Area,Ready To Move,Banashankari,3 BHK,Sksia A,1540,3.0,3.0,80.0
Built-up  Area,Ready To Move,D Group Employees Layout,5 Bedroom,,4400,5.0,3.0,240.0
Super built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1464,2.0,1.0,135.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,R ra  R,1800,3.0,3.0,90.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1285,2.0,1.0,78.0
Plot  Area,Ready To Move,Handenahalli,4 Bedroom,,4750,2.0,1.0,120.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Dhndsh ,1410,2.0,1.0,54.0
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,350,1.0,1.0,13.5
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,,1290,3.0,3.0,62.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3.0,3.0,56.0
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1370,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Seegehalli,2 BHK,,1096,2.0,1.0,41.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,KsonsCa,1070,2.0,2.0,50.0
Built-up  Area,Ready To Move,Shanthala Nagar,3 BHK,Sphts H,1600,3.0,2.0,180.0
Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,,950,2.0,1.0,40.0
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,,615,4.0,2.0,110.0
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Gonorir,1145,2.0,2.0,100.0
Plot  Area,Ready To Move,Patelappa Layout,3 Bedroom,,1200,3.0,3.0,225.0
Carpet  Area,Ready To Move,Lingarajapuram,2 BHK,Glnetch,1203,2.0,1.0,59.86
Built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Goateds,1300,2.0,2.0,102.0
Built-up  Area,Ready To Move,Jakkur,2 BHK,,1300,2.0,2.0,80.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1850,3.0,2.0,146.0
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,,1500,4.0,2.0,230.0
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1310,2.0,0.0,46.0
Built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,TealdEm,1170,2.0,2.0,86.0
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,87.5
Plot  Area,Ready To Move,BEL Layout,2 Bedroom,,1375,2.0,1.0,105.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,56.0
Plot  Area,Ready To Move,Arekere,3 Bedroom,Vetanan,2400,3.0,1.0,180.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1267,2.0,2.0,42.85
Super built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1.0,1.0,40.5
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Vadel C,1206,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367,3.0,2.0,320.0
Super built-up  Area,Ready To Move,Benson Town,3 BHK,GathiVa,1750,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2 BHK,ShtalCr,1050,2.0,1.0,50.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,,2100,3.0,0.0,210.0
Super built-up  Area,Ready To Move,KPC Layout,2 BHK,SVmesVi,1210,2.0,2.0,62.0
Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,,1200,4.0,1.0,80.0
Built-up  Area,Ready To Move,Gottigere,8 Bedroom,,1200,8.0,3.0,90.0
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,645 - 936,1.0,0.0,41.9
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2.0,2.0,75.0
Built-up  Area,Ready To Move,ISRO Layout,2 BHK,Foinade,1050,2.0,1.0,51.0
Built-up  Area,Ready To Move,Gubbalala,6 Bedroom,,2500,6.0,1.0,88.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2.0,2.0,44.17
Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,,1100,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1140,2.0,2.0,50.0
Plot  Area,Ready To Move,Jay an agar 4 T Block,4 Bedroom,,750,4.0,2.0,120.0
Plot  Area,18-Dec,Electronic City,4 Bedroom,Janaala,4000,5.0,1.0,150.0
Super built-up  Area,18-May,Kathriguppe IV Phase,3 BHK,,1630,3.0,2.0,131.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gamesti,1115,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,Isncasa,1861,3.0,3.0,92.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1145,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1800,3.0,2.0,88.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,RotatHa,1600,2.0,2.0,115.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1175,2.0,2.0,47.0
Super built-up  Area,19-Sep,Marathahalli,3 BHK,Vaeva E,2122,3.0,2.0,125.0
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,2048,3.0,2.0,206.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Laihai ,1540,3.0,0.0,50.0
Built-up  Area,Ready To Move,Ganga Nagar,2 BHK,,1200,3.0,2.0,52.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1125,2.0,1.0,32.49
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210,2.0,1.0,77.0
Built-up  Area,Ready To Move,Electronic City,3 Bedroom,,1500,3.0,1.0,73.0
Built-up  Area,Ready To Move,Anekal,2 BHK,,700,1.0,0.0,19.4
Built-up  Area,Ready To Move,Singapura Village,2 BHK,,970,2.0,0.0,45.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,2.0,2.0,86.69
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,672,1.0,1.0,36.85
Super built-up  Area,18-May,Bommasandra,3 BHK,SSestth,1280,3.0,1.0,50.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Srkha S,1060,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,47.0
Built-up  Area,Ready To Move,Kannamangala,3 BHK,Marnaer,1550,3.0,3.0,65.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,SGiewrk,1135,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PuilaMi,1595,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Kudlu,1 BHK,GKityel,720,1.0,1.0,33.0
Super built-up  Area,18-Oct,Whitefield,3 BHK,Prtates,2280,4.0,2.0,125.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maisehi,1361,2.0,2.0,79.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,66.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1639,3.0,2.0,129.0
Built-up  Area,Ready To Move, Electronic City,1 RK,GMown E,435,1.0,1.0,19.5
Plot  Area,18-Apr,Nagarbhavi,4 Bedroom,,600,5.0,3.0,95.0
Built-up  Area,Ready To Move,Shankarapuram,2 BHK,,900,1.0,0.0,130.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Shaceop,891,2.0,1.0,26.0
Super built-up  Area,Ready To Move,Domlur,2 BHK,IBictnd,1246,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1476,3.0,0.0,105.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,,1436,2.0,2.0,75.0
Built-up  Area,Ready To Move,Amruthahalli,2 BHK,,924,2.0,1.0,45.0
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,425,1.0,1.0,750.0
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,Asnex A,1400,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Itvir M,1160,2.0,2.0,42.0
Built-up  Area,Ready To Move,Basapura,2 BHK,,1045,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1581,3.0,3.0,76.0
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025,2.0,0.0,37.0
Built-up  Area,Ready To Move,Jakkur,3 BHK,Socon Z,1590,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1144,2.0,2.0,67.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1200,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Veerannapalya,3 BHK,,1488,3.0,,57.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1330,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,SaodySa,1237,2.0,2.0,73.0
Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,,1296,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kuvempu Nagar,3 BHK,Srersas,1540,3.0,2.0,150.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,Prhtsok,2825,4.0,3.0,250.0
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630 - 3800,6.0,0.0,200.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,918,2.0,1.0,50.49
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PuilaMi,1595,3.0,2.0,88.0
Built-up  Area,Ready To Move,Dena Bank Colony,2 BHK,Chntsat,1100,2.0,2.0,75.0
Built-up  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,2700,5.0,0.0,158.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1141,2.0,1.0,44.4
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,48.0
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,600,2.0,0.0,35.0
Super built-up  Area,20-Aug,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,111.0
Built-up  Area,18-Apr,Electronic City,3 BHK,,1650,3.0,2.0,100.0
Built-up  Area,Ready To Move,Mico Layout,2 Bedroom,,800,2.0,1.0,80.0
Plot  Area,Ready To Move,Lingarajapuram,2 Bedroom,,1350,2.0,1.0,80.0
Super built-up  Area,18-Aug,Byrasandra Extension,2 BHK,,1285,2.0,2.0,45.0
Plot  Area,Ready To Move,Devanahalli Int. Airport,4 Bedroom,,4800,5.0,2.0,350.0
Super built-up  Area,19-Sep,Yelahanka New Town,4 BHK,,2095,3.0,1.0,109.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,2.0,56.0
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1176,2.0,0.0,62.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,950,2.0,0.0,38.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Pre 1ri,985,2.0,1.0,40.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,55.6
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,250.0
Built-up  Area,Ready To Move,Abshot Layout,2 BHK,Emtat H,1140,1.0,1.0,185.0
Super built-up  Area,20-Dec,Banashankari Stage VI,3 BHK,Brens7 ,1423,2.0,1.0,71.73
Super built-up  Area,18-May,Phase 1 Kammasandra,2 BHK,,982,2.0,1.0,25.0
Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1050,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1610 - 1880,,,98.485
Built-up  Area,Ready To Move,Cholanayakanahalli,2 Bedroom,,580,2.0,0.0,95.0
Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1920,2.0,1.0,88.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,,1125,2.0,1.0,32.49
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,,1200,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,PentyVB,1181,2.0,2.0,57.0
Built-up  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3750,6.0,2.0,375.0
Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Jaood G,1000,2.0,2.0,30.0
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7.0,2.0,225.0
Super built-up  Area,18-Mar,Whitefield,2 BHK,Pranthi,982,2.0,1.0,37.0
Plot  Area,Ready To Move,Bikasipura,6 Bedroom,,2400,4.0,2.0,280.0
Super built-up  Area,Ready To Move,basaveshwarnagar,3 BHK,,1250,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Saade E,1523,3.0,3.0,170.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Prarkun,1571,3.0,2.0,105.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1050,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3.0,3.0,64.5
Super built-up  Area,Ready To Move,Bellandur,4 BHK,Sonyxa ,3016,4.0,3.0,230.0
Plot  Area,Ready To Move,Hongasandra,8 Bedroom,,1200,8.0,2.0,150.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,32.0
Super built-up  Area,18-Nov,Ramamurthy Nagar,2 BHK,Vaharvi,1200,2.0,1.0,46.0
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Vaows M,1400,2.0,1.0,85.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1035,2.0,1.0,51.5
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1200,2.0,2.0,45.6
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2774,4.0,,207.0
Plot  Area,Ready To Move,Uttarahalli,7 Bedroom,,1200,7.0,2.0,225.0
